lat,lon,azi
-77.365414,148.53317,40.299327
-77.324068,148.69442,37.629015
-77.279799,148.83612,32.624660
-77.232853,148.95966,31.105958
-77.185000,149.09432,42.634900
-77.155891,149.28353,68.754668
-77.149303,149.53106,67.081059
-77.116265,149.72760,53.365113
-77.085209,149.92870,58.228380
-77.060143,150.14761,55.266180
-77.025209,150.32757,40.247509
-76.978626,150.45892,30.381787
-76.930774,150.57311,32.014478
-76.886955,150.71273,39.520480
-76.847735,150.87862,45.078768
-76.810868,151.05444,46.120088
-76.772935,151.22657,45.448792
-76.734997,151.39800,48.947996
-76.702613,151.58706,56.917316
-76.677078,151.79813,60.080354
-76.649286,152.00542,52.806520
-76.612885,152.17556,38.227551
-76.565693,152.29348,32.783492
-76.521123,152.43122,48.878947
-76.497070,152.63913,55.910813
-76.462288,152.81650,37.593562
-76.412157,152.92207,21.411501
-76.360066,152.98485,48.012200
-76.351554,153.21433,73.357599
-76.330517,153.43492,57.267217
-76.294382,153.60482,36.795384
-76.245791,153.70591,25.766792
-76.196057,153.80373,27.164628
-76.148668,153.91455,28.661608
-76.100842,154.02150,27.076541
-76.052022,154.12009,25.685203
-76.002939,154.21625,25.801101
-75.954172,154.31513,19.795370
-75.899672,154.36716,25.962240
-75.861026,154.50067,43.517383
-75.825209,154.66263,31.490683
-75.772350,154.72431,6.4478600
-75.717628,154.70681,0.64353499
-75.662961,154.72242,21.161565
-75.621419,154.85512,44.697248
-75.587411,155.03017,51.876805
-75.555445,155.20339,52.527504
-72.737186,95.418804,101.12313
-72.748147,95.597140,96.511076
-72.750336,95.779612,91.010636
-72.750569,95.961633,94.658208
-72.759832,96.138994,113.07917
-72.793737,96.286809,130.16924
-72.833007,96.419542,127.36547
-72.862146,96.577211,125.53454
-72.898120,96.715291,131.55366
-72.936679,96.851137,131.46835
-72.973212,96.992711,132.22308
-73.012858,97.125832,128.15004
-73.042571,97.281953,120.13327
-73.069591,97.445522,114.87014
-73.090491,97.619660,122.73028
-73.129724,97.752612,135.15274
-73.170536,97.882899,135.58521
-73.210667,98.015497,131.93361
-73.246192,98.162382,129.18678
-73.282365,98.307626,131.46150
-73.321270,98.445473,129.83386
-73.355017,98.598302,115.31822
-73.368778,98.778824,98.214436
-73.371548,98.967837,91.257183
-73.371918,99.156944,90.452230
-73.373117,99.345529,88.636094
-73.369937,99.533350,89.305230
-73.372457,99.722524,89.457305
-73.369594,99.909111,101.80862
-73.395345,100.07927,118.25383
-73.423638,100.24414,118.16452
-73.449120,100.41442,116.79877
-73.475126,100.58443,118.44660
-73.503070,100.74772,117.21995
-73.526632,100.91986,109.21661
-73.540577,101.10588,103.00767
-73.552810,101.29303,102.15868
-73.565089,101.47979,91.967145
-73.557442,101.66907,79.537910
-73.545464,101.85562,77.642678
-73.534155,102.04229,73.000824
-73.514071,102.21222,67.320911
-73.492587,102.38457,72.148809
-73.480749,102.57028,83.002849
-73.479925,102.75799,87.856973
-73.477508,102.94630,81.205003
-73.463773,103.13072,81.944770
-73.462843,103.31847,81.738427
-73.448707,103.50296,85.489543
-73.455117,103.69022,102.83137
-73.474412,103.87084,111.79838
-73.497808,104.04473,105.75255
-73.505115,104.22902,96.377289
-73.511092,104.41760,90.049584
-73.506245,104.60716,83.327764
-73.499081,104.79572,82.047536
-74.520312,115.94089,96.739987
-74.527648,116.14422,92.840295
-74.527527,116.34591,92.228645
-74.533658,116.54774,90.088975
-74.529426,116.75137,83.716004
-74.523130,116.95376,86.224966
-74.523820,117.15783,95.224154
-74.535028,117.35945,98.497262
-74.542114,117.56321,96.167173
-74.548836,117.76728,93.091998
-74.549928,117.97157,88.260839
-74.547246,118.17572,87.996922
-74.547832,118.38003,95.311459
-74.559347,118.58193,97.544845
-74.564303,118.78654,94.564788
-74.570083,118.99139,85.817407
-74.558088,119.18897,82.770024
-74.558030,119.39133,93.655990
-74.566976,119.59424,82.717800
-74.546117,119.78422,55.103155
-74.506990,119.91362,38.676896
-74.463869,120.02315,48.074620
-74.436821,120.19949,62.320173
-74.413664,120.38020,68.983053
-74.398686,120.57481,67.842609
-74.373322,120.75351,75.054036
-74.372691,120.95091,79.484360
-74.355257,121.14167,64.757633
-74.327007,121.31287,65.822850
-74.311555,121.50554,71.814544
-74.294071,121.69389,76.270347
-74.287099,121.89367,86.827279
-74.289849,122.09566,78.844158
-74.268051,122.27600,65.413511
-74.245468,122.45722,63.732029
-74.220548,122.63313,60.945248
-74.193183,122.80414,56.626344
-74.161034,122.96339,52.991947
-74.127740,123.11928,55.779551
-74.099949,123.29006,73.204901
-74.098503,123.48599,98.498493
-74.118232,123.68269,97.239411
-74.114094,123.87211,71.291271
-74.086913,124.03095,35.391004
-74.031964,124.07855,15.065594
-73.979772,124.12733,14.566338
-73.926190,124.16988,22.489210
-73.880104,124.26808,55.826586
-73.870720,124.46294,76.125613
-73.855259,124.65032,69.411086
-73.833453,124.82885,57.817136
-73.798376,124.97516,51.027159
-73.765266,125.12810,58.782767
-73.742717,125.30444,65.699297
-73.721243,125.48212,64.645196
-73.696638,125.65631,75.029343
-73.695948,125.83662,74.845890
-73.671324,126.00606,64.098015
-73.649378,126.18247,68.570465
-73.632562,126.36590,68.238607
-73.610110,126.54033,70.306123
-73.597126,126.72798,77.511012
-73.588013,126.91882,67.874358
-73.557853,127.07846,48.311127
-73.519494,127.18802,32.751801
-73.470181,127.27100,37.659643
-73.434256,127.41348,50.212622
-73.400345,127.56299,64.365452
-73.389106,127.74842,78.294048
-73.380261,127.92957,62.217939
-73.341596,128.06784,44.541966
-73.301486,128.19627,45.397552
-73.264778,128.33547,56.348631
-73.242360,128.50565,74.895680
-73.238204,128.69619,88.765881
-73.242074,128.88714,93.893471
-73.247871,129.07710,87.758176
-73.239858,129.26479,88.521282
-73.247123,129.45547,81.949931
-73.226825,129.62933,62.798507
-73.198463,129.78911,54.716598
-73.164463,129.93507,53.352257
-73.133792,130.08949,52.702233
-73.098809,130.23218,49.651708
-73.063386,130.37339,49.214387
-73.027718,130.51375,56.909989
-73.004987,130.68256,63.278279
-72.979639,130.84688,56.717422
-72.946027,130.99170,49.975258
-72.909833,131.12954,48.471710
-72.873873,131.26766,47.748551
-72.836497,131.40222,53.219929
-72.809545,131.55998,59.159610
-72.781589,131.71726,62.114200
-72.759715,131.88398,67.133188
-72.740421,132.05676,72.742621
-72.729048,132.23382,79.305508
-72.722080,132.41695,79.358618
-72.710531,132.59957,72.322866
-72.690874,132.76313,74.299832
-72.683305,132.94474,87.055758
-72.687340,133.13046,88.393788
-72.682351,133.31381,73.177208
-72.657832,133.47656,65.907472
-72.639217,133.64709,70.856910
-72.623553,133.82266,76.991410
-72.616422,134.00412,83.414743
-72.612968,134.18876,86.231487
-72.611333,134.36882,69.245705
-72.577699,134.51299,59.545587
-72.556958,134.68303,76.810522
-72.555006,134.86209,86.402219
-72.552214,135.04510,91.213552
-72.559487,135.22871,97.481816
-72.568815,135.41200,91.301239
-72.564123,135.59437,87.009888
-72.565192,135.77908,85.850951
-72.558265,135.96107,82.052369
-72.551989,136.14363,77.924491
-72.537273,136.31865,77.897697
-72.530935,136.50109,81.454390
-72.522924,136.68219,81.788832
-72.517254,136.86418,81.507673
-72.508891,137.04030,74.689211
-72.490531,137.21137,75.092409
-72.482574,137.39244,86.283881
-72.485519,137.57613,92.464996
-72.489453,137.75846,93.386500
-72.494121,137.94034,89.023417
-72.489708,138.12235,81.215185
-72.479434,138.30044,82.506435
-72.477460,138.48410,83.358593
-72.468771,138.66461,81.086530
-72.462400,138.84685,95.162251
-72.480616,139.02419,96.131364
-72.475462,139.18994,85.333897
-72.474643,139.34295,81.789292
-72.462937,139.52161,72.263716
-72.443258,139.68806,74.258004
-72.435249,139.86988,76.650089
-72.419776,140.04410,74.085877
-72.406989,140.22071,79.346753
-72.401459,140.40254,82.422950
-72.394507,140.58347,81.683024
-72.387562,140.76436,82.253764
-72.381703,140.94576,80.339915
-72.371105,141.12434,77.943637
-72.360662,141.30291,76.962956
-72.348219,141.47969,76.501036
-72.336940,141.65680,79.018894
-72.329289,141.83645,77.803587
-72.315775,142.01075,81.372588
-72.314896,142.19400,87.072221
-72.312219,142.37545,88.568186
-72.314222,142.55784,85.158338
-72.305008,142.73741,78.947381
-72.295073,142.91562,84.073308
-72.295710,143.09852,89.831864
-72.296819,143.28103,85.666736
-72.289444,143.46158,84.055737
-72.287440,143.64371,92.634681
-72.296528,143.82471,93.682356
-72.296532,144.00720,93.365975
-72.305030,144.18927,95.597554
-72.309326,144.37193,89.444055
-72.305999,144.55459,90.848076
-72.312975,144.73597,97.886169
-72.322971,144.91455,91.701292
-72.318200,145.09737,86.120167
-72.317515,145.28054,86.212144
-72.312941,145.46185,83.612981
-72.307270,145.64326,82.342331
-72.300240,145.82408,78.484869
-72.287233,146.00075,68.765897
-72.262432,146.16071,62.336361
-72.237851,146.32136,64.566209
-72.216899,146.48765,67.941035
-72.198261,146.65734,61.976784
-72.167415,146.80294,61.664040
-72.148265,146.97097,62.746490
-72.118996,147.12135,57.616773
-72.090715,147.27517,50.867734
-72.052001,147.39448,45.366808
-72.015542,147.52536,54.348138
-71.989918,147.68169,67.430479
-71.975273,147.85422,68.314189
-71.951416,148.01095,55.951319
-71.915951,148.14540,57.040547
-71.893625,148.30645,70.347513
-71.880857,148.48010,73.228662
-71.863738,148.64761,67.063619
-71.839833,148.80685,64.098129
-71.817243,148.96783,68.945165
-71.802153,149.13758,71.599828
-71.784345,149.30452,69.833171
-71.766012,149.47042,72.778922
-71.753606,149.64300,76.083209
-71.741308,149.81588,70.174651
-71.718315,149.97376,66.313191
-71.699158,150.13685,71.546432
-71.685417,150.30756,76.964262
-71.676102,150.48246,71.169729
-71.652242,150.63624,66.804885
-71.634877,150.80315,63.752826
-71.605586,150.94947,65.153800
-71.590817,151.11847,67.888817
-71.566056,151.27369,63.916687
-71.544168,151.43291,65.996408
-71.523014,151.59363,70.013439
-71.508313,151.76211,71.296075
-71.489480,151.92545,70.202964
-71.472775,152.09140,53.341073
-71.428569,152.19022,27.044351
-71.376449,152.24498,37.709343
-71.348572,152.38551,65.134848
-71.332899,152.55233,69.827949
-71.312260,152.71218,66.138450
-71.290019,152.86957,63.878899
-71.265433,153.02299,67.136345
-71.249029,153.18760,71.709154
-71.232563,153.35206,74.179772
-71.220732,153.52077,71.481026
-71.199408,153.67888,60.937896
-71.169034,153.82078,61.919267
-71.149504,153.98050,73.356174
-71.139239,154.15068,76.507590
-71.125543,154.31567,66.976243
-71.098234,154.46410,55.704656
-71.064910,154.59898,57.931461
-71.041631,154.75231,63.529123
-71.017495,154.90496,61.146285
-70.990054,155.05164,57.447562
-70.959782,155.19221,54.695158
-70.927790,155.32963,63.330020
-70.912672,155.49177,66.882508
-70.886566,155.63988,58.226427
-70.856290,155.77984,62.457076
-70.837513,155.93883,69.435401
-70.819155,156.09840,66.789077
-70.795792,156.24988,67.257456
-70.778448,156.40878,64.481704
-70.750291,156.55272,58.316406
-73.603868,158.49065,348.58438
-73.550236,158.44899,342.99767
-73.499352,158.37055,333.14461
-73.452318,158.26668,330.36013
-73.403925,158.17208,338.72456
-73.351382,158.12145,348.86114
-73.296999,158.09182,355.72778
-73.242275,158.08714,355.93887
-73.187839,158.05919,356.07778
-73.133605,158.05555,2.6709189
-73.078693,158.07195,353.85733
-73.027151,158.01051,332.04424
-72.983382,157.89143,321.17402
-72.940938,157.76632,322.93770
-72.895150,157.65701,328.13343
-72.847133,157.56059,329.57982
-72.799963,157.46009,324.88313
-72.756888,157.33883,319.69062
-72.715316,157.21107,326.59352
-72.665734,157.12923,336.37946
-72.614589,157.05593,335.83909
-72.565299,156.97120,339.19576
-72.512174,156.91884,337.57039
-72.464177,156.82528,332.38280
-72.414698,156.74237,329.28009
-72.369633,156.63232,321.40512
-72.328759,156.50938,317.99992
-72.287738,156.38327,323.57493
-72.240668,156.28900,336.34583
-72.186422,156.23061,320.84826
-72.161079,156.07147,300.52971
-72.130365,155.91854,298.28146
-72.107964,155.74899,300.47317
-72.073888,155.60445,316.55053
-72.029940,155.50327,316.62175
-71.995153,155.35794,307.54742
-71.961521,155.21154,306.68196
-71.928287,155.06461,300.64050
-71.904449,154.89965,295.05793
-71.880279,154.73547,295.33492
-71.855962,154.57173,295.49921
-71.831498,154.40842,296.19459
-71.805867,154.24624,286.91617
-71.798725,154.07175,286.71253
-71.773492,153.90994,292.25123
-71.755699,153.73941,297.73398
-71.721993,153.59765,308.76313
-71.685826,153.45862,307.51197
-71.653610,153.31123,305.54374
-71.620539,153.16603,307.02901
-71.586028,153.02442,311.04263
-71.547205,152.89566,309.53180
-71.515622,152.75171,300.91369
-71.489819,152.59313,296.76075
-71.464361,152.43330,296.56313
-68.043579,172.27039,187.21291
-68.097892,172.25213,188.28801
-68.151963,172.22822,190.86087
-68.205667,172.19628,189.09718
-68.259832,172.18177,181.90939
-68.314736,172.18774,181.48542
-68.369273,172.17534,190.35427
-68.422005,172.13432,201.50663
-68.470936,172.06421,204.47661
-68.521024,172.00885,190.38439
-68.576345,172.01143,172.15409
-68.629298,172.05260,168.31943
-68.683244,172.07539,176.58148
-68.738272,172.07257,182.83563
-68.793144,172.06149,181.31624
-68.847486,172.06705,172.94314
-68.901161,172.10132,170.09892
-68.955539,172.12257,174.59805
-69.010610,172.13260,180.12268
-69.065140,172.12346,192.85771
-69.115587,172.06478,207.38371
-69.161661,171.97978,212.26592
-69.208159,171.89616,206.22935
-69.258862,171.84182,193.75101
-69.313539,171.82265,185.13722
-69.368340,171.81478,183.09444
-69.423018,171.80702,185.74561
-69.477105,171.78430,193.00200
-69.530240,171.73570,206.02456
-69.574856,171.64459,226.68206
-69.602631,171.50850,246.37047
-69.617578,171.35244,247.55724
-69.643669,171.21079,237.01775
-69.676474,171.08191,232.21569
-69.710319,170.95466,230.78422
-69.745209,170.83073,226.12937
-69.785507,170.72152,223.96602
-69.823583,170.60514,230.07616
-69.855491,170.47082,221.14450
-69.902137,170.40006,203.09181
-69.954155,170.34609,208.42284
-69.997404,170.24607,224.01200
-70.031878,170.11972,230.68191
-70.066260,169.99147,228.23785
-70.104411,169.87361,221.80618
-70.147083,169.77276,214.34274
-70.194009,169.68870,212.31816
-70.239180,169.59653,216.10182
-70.281921,169.49396,215.92533
-70.327252,169.40237,212.24473
-70.374066,169.31707,211.06289
-70.420666,169.23087,214.73755
-70.463275,169.12767,221.46747
-70.502220,169.00896,220.42619
-70.545336,168.91223,209.13397
-70.596019,168.84860,212.65128
-70.635448,168.73408,233.65174
-70.658935,168.58138,237.03728
-70.693753,168.45228,227.15185
-70.732522,168.33368,221.48007
-70.774943,168.22843,210.39709
-70.825258,168.16489,198.60628
-70.878529,168.12122,194.72630
-70.931395,168.07948,195.33657
-70.984550,168.03183,204.27927
-71.029381,167.94143,219.12342
-71.067819,167.81762,217.57447
-71.114328,167.73471,201.78174
-71.167592,167.69285,202.66491
-71.214386,167.60324,218.73113
-71.251556,167.47794,232.72384
-71.279657,167.32684,241.72477
-71.302727,167.16893,247.69245
-71.320745,166.99912,240.39641
-71.353484,166.87861,215.07537
-71.404683,166.81037,213.52372
-71.443445,166.68725,229.84116
-71.474262,166.54247,234.80854
-71.505769,166.39876,229.52156
-71.544235,166.27538,225.00802
-71.582253,166.14971,226.56802
-71.618681,166.01863,225.27817
-71.658387,165.89848,221.47425
-71.699889,165.78415,221.04665
-71.740222,165.66527,222.94558
-71.779224,165.54166,227.63829
-71.812958,165.40197,232.01478
-71.845705,165.25932,230.96217
-71.880981,165.12352,229.01434
-71.916611,164.98829,230.39788
-71.949841,164.84630,234.36803
-71.979375,164.69526,236.47762
-72.009314,164.54491,234.54726
-72.041907,164.40044,233.03041
-72.074370,164.25459,228.05527
-72.113764,164.13244,220.12624
-72.156881,164.02233,222.56268
-72.193309,163.88740,227.77030
-71.892105,162.70843,189.63085
-71.945913,162.68003,188.22922
-72.000206,162.66043,179.93313
-72.054944,162.68453,162.05032
-72.102705,162.77471,152.84066
-72.152396,162.85433,153.46085
-72.201298,162.94257,156.97065
-72.252744,163.00069,175.20864
-72.306611,162.97589,194.64027
-72.358332,162.91081,203.20765
-72.405605,162.83479,220.02481
-72.436607,162.68780,220.64410
-72.485154,162.60295,215.01745
-72.525016,162.47771,214.43684
-72.573647,162.39705,214.45429
-72.613476,162.27098,215.05270
-72.661731,162.18623,205.24105
-72.712034,162.11369,208.21262
-72.757053,162.01188,219.25373
-72.795286,161.87873,226.55985
-72.831393,161.73864,226.81678
-72.869321,161.60358,226.90270
-72.905101,161.46328,235.63068
-72.929331,161.29384,245.53596
-72.949244,161.11630,245.73640
-72.973040,160.94660,239.65292
-73.003193,160.78849,236.43354
-73.032473,160.62851,238.71668
-73.058812,160.46207,240.78308
-73.084677,160.29436,241.85759
-73.109375,160.12271,238.95549
-73.139746,159.96667,223.62197
-73.185571,159.86609,206.70446
-73.236638,159.79702,208.66987
-73.279736,159.68569,219.87418
-73.319100,159.55229,217.55758
-73.365332,159.45202,205.41485
-73.416681,159.38964,199.75594
-73.467912,159.32365,203.35755
-73.516673,159.23762,209.62263
-73.562159,159.13277,216.10394
-73.603949,159.00868,219.92515
-73.645246,158.88118,218.68245
-73.688746,158.76278,215.11271
-73.734183,158.65495,210.38571
-73.782174,158.56518,203.97706
-73.833051,158.49740,199.23145
-73.885085,158.43738,198.99971
-73.936319,158.37047,200.05798
-72.613252,168.45971,36.571450
-72.569556,168.57085,38.066504
-72.527833,168.68942,41.936263
-72.489038,168.81921,44.935930
-72.451105,168.95215,45.175750
-72.412601,169.08264,43.136580
-72.372043,169.20512,40.292714
-72.329876,169.32127,39.090317
-72.287723,169.43750,39.742715
-72.246341,169.55644,42.721852
-72.208148,169.68611,47.085621
-72.172624,169.82471,45.598307
-72.132272,169.94762,39.690504
-72.088642,170.05880,42.834517
-72.053524,170.19256,56.429402
-72.029778,170.35773,58.171881
-71.997108,170.49892,45.087603
-71.954089,170.61157,38.048866
-71.911036,170.72289,37.082539
-71.867216,170.82929,35.151225
-71.821897,170.93036,26.392997
-71.770349,170.98714,18.017083
-71.719859,171.03819,34.099313
-71.685965,171.17422,52.945812
-71.653957,171.32607,46.360391
-71.610782,171.43328,36.747771
-71.566828,171.53843,38.845104
-71.526074,171.65561,42.405041
-71.486569,171.77719,44.148953
-71.448094,171.90185,48.525961
-71.414049,172.04394,40.307645
-71.368197,172.12135,22.718440
-71.317703,172.17312,37.784028
-71.287420,172.32259,62.873364
-71.268206,172.48662,65.154606
-71.242268,172.63910,57.161449
-71.209511,172.78020,54.700112
-71.178555,172.92876,43.021049
-71.132474,173.01049,30.664947
-71.089857,173.09597,50.761528
-71.068148,173.26192,58.679970
-71.033175,173.39418,50.008673
-70.998348,173.52691,52.230846
-70.966651,173.66729,54.105918
-70.934631,173.80670,56.516950
-70.906522,173.95591,52.395517
-70.869990,174.07253,33.076464
-70.818117,174.13696,27.233217
-70.772359,174.22963,34.327599
-70.728020,174.32944,33.104943
-70.681201,174.41516,26.729371
-70.630356,174.48228,30.641721
-70.589759,174.58321,56.708491
-70.574081,174.74946,64.091839
-70.542549,174.88697,54.026835
-70.509481,175.02620,44.437958
-70.466606,175.11773,23.242009
-70.412355,175.15445,15.754714
-70.360742,175.20879,25.847449
-70.314904,175.29879,30.346350
-70.266882,175.37680,24.566708
-70.215860,175.43667,21.567457
-70.165252,175.49864,24.761742
-70.116682,175.57524,23.856993
-70.065700,175.63173,15.176869
-70.011770,175.66071,10.206019
-77.454241,151.78500,30.612760
-77.407364,151.91235,30.091837
-77.360109,152.03548,28.778265
-77.312162,152.15113,26.666826
-77.263218,152.25610,23.788947
-77.213001,152.34750,20.816208
-77.161721,152.42758,18.929337
-77.110003,152.50301,18.677126
-77.058480,152.58049,20.051495
-77.007744,152.66657,21.809833
-76.957492,152.75778,23.093763
-76.907720,152.85357,24.025386
-76.858119,152.95170,23.412008
-76.807249,153.04312,23.685106
-76.757632,153.14312,27.387470
-76.710885,153.26067,33.162864
-76.667475,153.40124,39.701664
-76.627774,153.56456,46.976895
-76.593982,153.74999,55.250530
-76.567198,153.95422,62.239896
-76.544612,154.17200,65.118105
-76.522384,154.39057,63.842052
-76.497753,154.60121,57.570044
-76.464941,154.79271,42.511809
-76.420484,154.91038,20.218956
-76.365757,154.94652,15.638909
-76.315684,155.03122,25.621025
-76.268096,155.14411,27.915022
-76.219929,155.24553,40.607132
-76.188678,155.43512,54.015174
-76.158601,155.61153,33.669307
-76.104514,155.67242,18.242776
-76.053263,155.75358,22.924919
-76.003945,155.84791,21.966509
-75.950980,155.92300,25.978250
-75.907259,156.04199,48.014672
-75.881592,156.24816,49.996029
-75.841711,156.37213,22.895062
-75.786264,156.41229,13.689133
-75.732594,156.47677,25.926788
-75.690066,156.60215,46.495738
-75.660477,156.79214,52.035178
-75.623617,156.95730,38.005380
-75.576946,157.05996,21.548185
-75.523436,157.11535,15.044427
-75.470441,157.17165,22.133966
-75.423878,157.27592,33.959558
